time_seconds,current_time,x,y
33.658347,2024-05-27T21:24:39.882Z,801,752
33.675001,2024-05-27T21:24:39.882Z,808,754
33.691656,2024-05-27T21:24:39.882Z,807,752
33.708311,2024-05-27T21:24:39.882Z,808,753
33.724965,2024-05-27T21:24:39.882Z,810,750
33.74162,2024-05-27T21:24:39.882Z,809,757
33.758275,2024-05-27T21:24:39.882Z,808,757
33.774929,2024-05-27T21:24:39.882Z,800,758
33.791584,2024-05-27T21:24:39.882Z,801,758
33.808239,2024-05-27T21:24:39.882Z,808,766
33.824893,2024-05-27T21:24:39.882Z,806,763
33.841548,2024-05-27T21:24:39.882Z,807,756
33.858203,2024-05-27T21:24:39.882Z,807,758
33.874857,2024-05-27T21:24:39.882Z,803,760
33.891512,2024-05-27T21:24:39.882Z,806,760
33.908167,2024-05-27T21:24:39.882Z,805,753
33.924822,2024-05-27T21:24:39.882Z,807,753
33.941476,2024-05-27T21:24:39.882Z,807,753
33.958131,2024-05-27T21:24:39.882Z,778,748
33.974787,2024-05-27T21:24:39.882Z,761,756
33.991441,2024-05-27T21:24:39.882Z,761,764
34.008096,2024-05-27T21:24:40.882Z,761,769
34.024751,2024-05-27T21:24:40.882Z,762,774
34.041405,2024-05-27T21:24:40.882Z,760,749
34.058061,2024-05-27T21:24:40.882Z,761,748
34.074716,2024-05-27T21:24:40.882Z,762,760
34.09137,2024-05-27T21:24:40.882Z,762,761
34.108025,2024-05-27T21:24:40.882Z,768,774
34.12468,2024-05-27T21:24:40.882Z,768,775
34.141334,2024-05-27T21:24:40.882Z,771,773
34.157989,2024-05-27T21:24:40.882Z,771,771
34.174644,2024-05-27T21:24:40.882Z,769,774
34.191299,2024-05-27T21:24:40.882Z,769,774
34.207953,2024-05-27T21:24:40.882Z,769,770
34.224608,2024-05-27T21:24:40.882Z,768,768
34.241263,2024-05-27T21:24:40.882Z,765,759
34.257917,2024-05-27T21:24:40.882Z,766,760
34.274573,2024-05-27T21:24:40.882Z,784,770
34.291228,2024-05-27T21:24:40.882Z,812,768
34.307883,2024-05-27T21:24:40.882Z,821,766
