x,y,time_seconds
724,308,15.554476
725,299,15.57113
724,293,15.587785
724,287,15.604439
722,284,15.621093
723,288,15.637748
726,290,15.654402
726,289,15.671056
722,289,15.687711
725,292,15.704365
705,304,15.721019
673,314,15.737674
673,308,15.754329
674,305,15.770982
679,308,15.787637
672,305,15.804292
660,305,15.820946
701,297,15.837601
773,290,15.854255
830,294,15.870909
819,298,15.887563
827,293,15.904218
830,289,15.920872
826,289,15.937527
833,286,15.954182
833,295,15.970835
829,304,15.98749
821,303,16.004145
820,301,16.020799
825,305,16.037453
824,305,16.054107
818,309,16.070762
811,314,16.087416
813,314,16.104071
813,316,16.120725
815,321,16.137379
811,325,16.154034
817,318,16.170688
819,313,16.187342
817,318,16.203997
820,319,16.220652
813,319,16.237305
812,322,16.25396
820,319,16.270615
819,319,16.287269
850,313,16.303923
879,308,16.320578
886,310,16.337233
885,315,16.353886
883,319,16.370541
890,318,16.387195
885,315,16.403849
884,309,16.420503
886,304,16.437158
880,308,16.453812
885,316,16.470467
885,310,16.487122
881,308,16.503775
885,316,16.52043
889,316,16.537085
882,314,16.553739
879,314,16.570393
916,319,16.587048
996,322,16.603702
1002,322,16.620356
996,319,16.637011
996,316,16.653666
997,321,16.67032
1000,316,16.686974
1003,314,16.703628
998,316,16.720282
993,315,16.736937
996,314,16.753591
996,314,16.770245
1005,315,16.7869
1062,324,16.803555
1174,310,16.820209
1178,312,16.836863
1180,310,16.853517
1178,313,16.870172
1182,318,16.886826
1179,318,16.903481
1181,315,16.920135
1184,314,16.936789
1181,314,16.953444
1186,317,16.970099
1182,319,16.986752
1184,321,17.003407
1186,321,17.020061
1248,319,17.036715
1277,327,17.05337
1286,328,17.070025
1287,317,17.086679
1275,318,17.103333
1283,318,17.119987
1282,316,17.136642
1273,322,17.153296
1279,323,17.16995
1277,322,17.186605
1267,326,17.203259
1273,329,17.219914
1277,334,17.236568
1275,328,17.253221
1277,321,17.269876
1240,321,17.286531
884,297,17.303185
822,298,17.31984
301,402,17.336494
321,379,17.353149
303,370,17.369803
300,373,17.386458
304,372,17.403112
303,368,17.419765
302,365,17.43642
298,361,17.453075
297,359,17.469728
295,358,17.486383
299,359,17.503038
276,364,17.519692
249,363,17.536346
248,361,17.553
248,368,17.569654
251,371,17.586309
239,401,17.602964
261,499,17.619619
223,706,17.636272
185,914,17.652927
148,1121,17.669582
110,1329,17.686235
72,1536,17.70289
35,1744,17.719544
35,1744,17.736198
250,1240,17.752853
465,736,17.769508
452,744,17.786161
313,586,17.802816
310,589,17.81947
333,523,17.836124
318,482,17.852778
315,436,17.869433
316,434,17.886088
305,414,17.902742
319,414,17.919396
315,417,17.936051
306,384,17.952704
305,373,17.969359
324,399,17.986014
324,395,18.002667
323,423,18.019322
318,415,18.035977
316,424,18.052631
314,421,18.069285
320,417,18.08594
366,412,18.102593
382,403,18.119248
379,399,18.135902
369,391,18.152557
373,387,18.169211
372,384,18.185866
369,382,18.20252
377,389,18.219174
374,394,18.235828
375,375,18.252483
376,370,18.269136
377,380,18.285791
375,377,18.302446
375,356,18.3191
385,356,18.335754
398,379,18.352409
437,375,18.369063
447,376,18.385717
449,375,18.402372
443,377,18.419026
443,375,18.43568
448,363,18.452335
449,364,18.468989
451,367,18.485643
458,367,18.502298
452,372,18.518952
458,376,18.535605
458,374,18.55226
458,370,18.568915
457,373,18.585569
456,377,18.602223
460,380,18.618878
459,382,18.635532
489,381,18.652186
547,377,18.66884
551,368,18.685495
557,372,18.702149
560,376,18.718804
562,373,18.735459
560,370,18.752113
555,371,18.768768
555,371,18.785423
561,369,18.802076
561,367,18.818731
548,375,18.835386
550,382,18.85204
555,372,18.868695
554,365,18.88535
557,359,18.902004
556,357,18.918659
534,363,18.935313
522,372,18.951968
524,383,18.968622
530,393,18.985277
532,391,19.001932
529,374,19.018586
526,371,19.035241
529,372,19.051896
528,373,19.06855
529,382,19.085204
528,384,19.101859
525,373,19.118513
523,364,19.135168
529,368,19.151823
526,372,19.168477
518,372,19.185132
528,370,19.201787
531,366,19.218441
654,351,19.235095
650,360,19.25175
650,363,19.268405
652,360,19.285059
651,364,19.301714
653,361,19.318369
654,355,19.335023
654,354,19.351677
651,349,19.368332
646,354,19.384986
645,360,19.401641
651,357,19.418296
653,362,19.43495
645,364,19.451605
649,358,19.46826
652,362,19.484915
650,450,19.501568
652,493,19.518223
683,540,19.534878
714,587,19.551532
745,634,19.568187
777,682,19.584842
808,729,19.601496
839,776,19.618151
871,824,19.634805
263,1076,19.651459
574,684,19.668114
