x,y,time_seconds
1281,555,15.003349
1260,563,15.020003
1254,563,15.036657
1252,565,15.053312
1253,574,15.069966
1274,561,15.086621
1266,557,15.103275
1266,557,15.119929
1270,559,15.136584
1270,559,15.153239
1271,563,15.169892
1271,563,15.186547
1267,564,15.203202
1267,564,15.219857
1273,574,15.23651
1253,587,15.253165
1253,588,15.26982
1261,593,15.286473
1356,624,15.303128
1390,624,15.319783
1381,618,15.336437
1378,619,15.353092
1478,808,15.369747
1528,768,15.3864
1579,728,15.403055
1630,689,15.41971
1511,654,15.436364
1392,616,15.453018
1395,606,15.469673
1398,604,15.486328
1397,606,15.502982
1399,605,15.519636
1401,604,15.536291
1401,605,15.552945
1394,610,15.5696
1390,613,15.586254
1392,611,15.602908
1386,612,15.619563
1388,616,15.636217
1390,614,15.652871
1384,615,15.669526
1385,615,15.68618
1385,621,15.702834
1385,623,15.719489
1387,619,15.736143
1381,622,15.752799
1385,626,15.769453
1384,624,15.786107
1380,621,15.802762
1374,626,15.819416
1374,630,15.83607
1375,630,15.852725
1303,634,15.869379
1335,668,15.886034
1211,622,15.902688
973,658,15.919342
735,694,15.935997
497,730,15.952652
260,767,15.969305
278,819,15.98596
298,865,16.002615
310,872,16.019269
309,879,16.035923
303,872,16.052578
299,866,16.069232
298,877,16.085886
303,875,16.102541
306,869,16.119195
304,871,16.135849
302,867,16.152504
297,862,16.169159
197,875,16.185813
162,882,16.202468
155,887,16.219122
155,890,16.235776
143,884,16.252431
147,889,16.269085
139,887,16.28574
125,864,16.302394
116,857,16.319049
110,849,16.335703
100,842,16.352357
91,845,16.369012
91,842,16.385667
86,840,16.40232
83,837,16.418974
112,841,16.435629
400,831,16.452283
499,833,16.468938
566,832,16.485592
570,834,16.502246
568,843,16.518901
554,836,16.535556
547,827,16.55221
562,830,16.568864
564,833,16.585519
550,827,16.602174
557,825,16.618828
558,826,16.635482
557,841,16.652137
560,842,16.668791
558,840,16.685445
560,827,16.7021
560,793,16.718754
563,796,16.735409
565,798,16.752063
566,803,16.768717
572,812,16.785372
564,817,16.802026
566,828,16.818681
577,825,16.835334
580,828,16.851989
575,830,16.868644
579,829,16.885297
640,865,16.901952
908,1009,16.918607
947,1008,16.935261
928,1011,16.951915
920,1005,16.96857
921,1005,16.985224
922,1004,17.001879
921,1001,17.018533
921,1003,17.035187
919,1000,17.051842
920,999,17.068497
917,1002,17.085151
918,1006,17.101805
919,1007,17.11846
917,1009,17.135114
917,998,17.151768
914,989,17.168423
913,981,17.185077
912,982,17.201731
914,978,17.218385
912,979,17.23504
853,979,17.251694
809,1020,17.268348
551,1028,17.285003
533,1026,17.301657
561,1022,17.318312
555,1026,17.334966
554,1030,17.351621
556,1032,17.368275
560,1022,17.384929
563,1013,17.401584
555,1017,17.418238
555,1017,17.434893
605,992,17.451547
669,984,17.468201
935,897,17.484856
922,843,17.501511
920,827,17.518164
918,829,17.534819
916,824,17.551474
913,820,17.568127
915,824,17.584781
910,816,17.601436
906,814,17.618091
908,816,17.634744
911,811,17.651399
906,808,17.668054
906,811,17.684708
911,809,17.701362
910,810,17.718017
951,831,17.734671
634,621,17.751325
573,573,17.76798
450,461,17.784634
455,466,17.801288
462,460,17.817943
464,464,17.834597
461,458,17.851252
460,440,17.867906
460,442,17.884561
459,442,17.901215
463,433,17.91787
462,429,17.934524
459,428,17.951177
465,433,17.967832
469,432,17.984486
467,431,18.00114
462,428,18.017795
448,423,18.03445
361,421,18.051103
341,421,18.067758
350,424,18.084413
355,425,18.101066
357,426,18.117721
354,424,18.134376
350,425,18.15103
348,424,18.167684
354,426,18.184339
352,427,18.200993
347,430,18.217647
352,430,18.234302
362,433,18.250957
361,434,18.26761
361,434,18.284265
384,433,18.30092
425,431,18.317573
425,433,18.334227
428,435,18.350882
429,438,18.367536
432,444,18.38419
431,439,18.400845
426,436,18.4175
423,445,18.434153
427,448,18.450808
427,442,18.467463
427,444,18.484116
427,446,18.500771
495,469,18.517426
590,491,18.534079
821,520,18.550734
828,526,18.567389
825,531,18.584043
822,531,18.600697
825,531,18.617352
823,530,18.634006
819,520,18.65066
818,520,18.667315
826,522,18.68397
827,518,18.700623
818,515,18.717278
817,517,18.733932
820,512,18.750585
820,509,18.76724
823,508,18.783895
822,511,18.800549
811,509,18.817204
800,507,18.833859
777,509,18.850513
775,504,18.867168
781,505,18.883823
779,509,18.900477
780,508,18.917132
781,504,18.933787
776,510,18.950442
779,514,18.967096
782,510,18.983751
784,515,19.000406
